"","Code.INSEE","Code.Postal","Commune","Code.Departement","Code.Region"
"191","67441","67350","SCHALKENDORF","67",42
"204","67094","67650","DIEFFENTHAL","67",42
"319","67458","67590","SCHWEIGHOUSE-SUR-MODER","67",42
"330","67231","67480","KAUFFENHEIM","67",42
"338","67200","67150","HIPSHEIM","67",42
"386","67322","67330","NEUWILLER-LES-SAVERNE","67",42
"447","67210","67140","LE HOHWALD","67",42
"706","67480","67190","STILL","67",42
"831","67346","67160","OBERLAUTERBACH","67",42
"858","67469","67440","SINGRIST","67",42
"882","67532","67370","WILLGOTTHEIM","67",42
"960","67049","67113","BLAESHEIM","67",42
"982","67362","67600","ORSCHWILLER","67",42
"1004","67367","67700","OTTERSWILLER","67",42
"1012","67528","67320","WEYER","67",42
"1086","67502","67110","UTTENHOFFEN","67",42
"1119","67204","67800","HOENHEIM","67",42
"1198","67297","67170","MITTELHAUSEN","67",42
"1269","67428","67530","SAINT-NABOR","67",42
"1431","67394","67250","RETSCHWILLER","67",42
"1459","67310","67600","MUSSIG","67",42
"1494","67476","67770","STATTMATTEN","67",42
"1546","67556","67310","ZEINHEIM","67",42
"1590","67099","67430","DOMFESSEL","67",42
"1628","67237","67840","KILSTETT","67",42
"1830","67071","67320","BUST","67",42
"1843","67320","67220","NEUVE-EGLISE","67",42
"1923","67412","67230","ROSSFELD","67",42
"2200","67069","67470","BUHL","67",42
"2201","67443","67630","SCHEIBENHARD","67",42
"2233","67146","67860","FRIESENHEIM","67",42
"2305","67192","67230","HERBSHEIM","67",42
"2343","67437","67700","SAVERNE","67",42
"2414","67327","67630","NIEDERLAUTERBACH","67",42
"2583","67047","67260","BISSERT","67",42
"2649","67345","67240","OBERHOFFEN-SUR-MODER","67",42
"2673","67555","67310","ZEHNACKER","67",42
"2696","67397","67860","RHINAU","67",42
"2716","67385","67430","RATZWILLER","67",42
"2752","67261","67630","LAUTERBOURG","67",42
"2790","67195","67390","HESSENHEIM","67",42
"2803","67560","67270","ZOEBERSDORF","67",42
"2931","67028","67230","BENFELD","67",42
"3068","67558","67110","ZINSWILLER","67",42
"3077","67032","67140","BERNARDVILLE","67",42
"3380","67081","67310","DAHLENHEIM","67",42
"3533","67053","67390","BOESENBIESEN","67",42
"3771","67178","67320","GUNGWILLER","67",42
"3776","67179","67700","HAEGEN","67",42
"3818","67309","67450","MUNDOLSHEIM","67",42
"3898","67409","67480","ROPPENHEIM","67",42
"3899","67302","67700","MONSWILLER","67",42
"3927","67429","67140","SAINT-PIERRE","67",42
"3928","67499","67220","URBEIS","67",42
"3994","67292","67580","MIETESHEIM","67",42
"4075","67421","67420","SAALES","67",42
"4188","67293","67270","MINVERSHEIM","67",42
"4336","67491","67290","TIEFFENBACH","67",42
"4397","67348","67210","OBERNAI","67",42
"4419","67450","67240","SCHIRRHOFFEN","67",42
"4605","67139","67310","FLEXBOURG","67",42
"4755","67347","67330","OBERMODERN-ZUTZENDORF","67",42
"4788","67299","67190","MOLLKIRCH","67",42
"4856","67110","67360","DURRENBACH","67",42
"4887","67029","67320","BERG","67",42
"4976","67196","67600","HILSENHEIM","67",42
"4995","67454","67320","SCHOENBOURG","67",42
"5026","67191","67260","HERBITZHEIM","67",42
"5029","67106","67410","DRUSENHEIM","67",42
"5059","67291","67580","MERTZWILLER","67",42
"5083","67505","67730","LA VANCELLE","67",42
"5088","67159","67320","GOERLINGEN","67",42
"5184","67180","67500","HAGUENAU","67",42
"5249","67540","67590","WINTERSHOUSE","67",42
"5283","67498","67350","UHRWILLER","67",42
"5303","67141","67580","FORSTHEIM","67",42
"5361","67517","67520","WANGEN","67",42
"5489","67033","67170","BERNOLSHEIM","67",42
"5500","67113","67470","EBERBACH-SELTZ","67",42
"5503","67277","67390","MACKENHEIM","67",42
"5758","67321","67130","NEUVILLER-LA-ROCHE","67",42
"5761","67500","67280","URMATT","67",42
"5772","67249","67170","KRAUTWILLER","67",42
"5819","67468","67260","SILTZHEIM","67",42
"5860","67241","67320","KIRRBERG","67",42
"5882","67411","67560","ROSHEIM","67",42
"6064","67551","67202","WOLFISHEIM","67",42
"6155","67136","67320","EYWILLER","67",42
"6223","67542","67370","WINTZENHEIM-KOCHERSBERG","67",42
"6230","67307","67350","MULHAUSEN","67",42
"6304","67354","67520","ODRATZHEIM","67",42
"6328","67368","67530","OTTROTT","67",42
"6393","67422","67390","SAASENHEIM","67",42
"6589","67059","67420","BOURG-BRUCHE","67",42
"6635","67463","67470","SELTZ","67",42
"6689","67296","67206","MITTELHAUSBERGEN","67",42
"6733","67233","67230","KERTZFELD","67",42
"6762","67201","67320","HIRSCHLAND","67",42
"6794","67202","67270","HOCHFELDEN","67",42
"6810","67470","67130","SOLBACH","67",42
"7012","67488","67320","THAL-DRULINGEN","67",42
"7053","67093","67360","DIEFFENBACH-LES-WOERTH","67",42
"7067","67129","67330","ERNOLSHEIM-LES-SAVERNE","67",42
"7174","67235","67930","KESSELDORF","67",42
"7289","67105","67320","DRULINGEN","67",42
"7443","67115","67600","EBERSHEIM","67",42
"7445","67400","67160","RIEDSELTZ","67",42
"7523","67384","67420","RANRUPT","67",42
"7579","67539","67170","WINGERSHEIM","67",42
"7615","67124","67960","ENTZHEIM","67",42
"7654","67478","67790","STEINBOURG","67",42
"7850","67236","67270","KIENHEIM","67",42
"7876","67406","67270","ROHR","67",42
"7893","67169","67240","GRIES","67",42
"7911","67377","67420","PLAINE","67",42
"8015","67513","67130","WALDERSBACH","67",42
"8063","67304","67350","MORSCHWILLER","67",42
"8085","67507","67220","VILLE","67",42
"8156","67285","67150","MATZENHEIM","67",42
"8322","67132","67360","ESCHBACH","67",42
"8369","67372","67350","PFAFFENHOFFEN","67",42
"8386","67536","67110","WINDSTEIN","67",42
"8451","67541","67470","WINTZENBACH","67",42
"8578","67122","67710","WANGENBOURG-ENGENTHAL","67",42
"8704","67275","67490","LUPSTEIN","67",42
"8734","67018","67310","BALBRONN","67",42
"9035","67137","67640","FEGERSHEIM","67",42
"9086","67547","67820","WITTISHEIM","67",42
"9147","67228","67370","NEUGARTHEIM-ITTLENHEIM","67",42
"9186","67489","67440","THAL-MARMOUTIER","67",42
"9256","67123","67350","ENGWILLER","67",42
"9409","67227","67140","ITTERSWILLER","67",42
"9432","67035","67170","BERSTHEIM","67",42
"9651","67263","67510","LEMBACH","67",42
"9661","67510","67170","WAHLENHEIM","67",42
"9706","67260","67580","LAUBACH","67",42
"9787","67103","67330","DOSSENHEIM-SUR-ZINSEL","67",42
"9809","67054","67150","BOLSENHEIM","67",42
"9842","67134","67320","ESCHWILLER","67",42
"10066","67467","67320","SIEWILLER","67",42
"10104","67531","67130","WILDERSBACH","67",42
"10197","67526","67230","WESTHOUSE","67",42
"10214","67522","67290","WEISLINGEN","67",42
"10239","67209","67270","HOHFRANKENHEIM","67",42
"10241","67516","67670","WALTENHEIM-SUR-ZORN","67",42
"10280","67430","67220","SAINT-PIERRE-BOIS","67",42
"10429","67405","67480","ROESCHWOOG","67",42
"10445","67535","67290","WIMMENAU","67",42
"10483","67433","67230","SAND","67",42
"10583","67148","67290","FROHMUHL","67",42
"10641","67037","67360","BIBLISHEIM","67",42
"10678","67472","67620","SOUFFLENHEIM","67",42
"10729","67215","67270","HUTTENDORF","67",42
"10806","67226","67117","ITTENHEIM","67",42
"10815","67487","67250","SURBOURG","67",42
"10821","67508","67430","VOELLERDINGEN","67",42
"10833","67206","67250","HOFFEN","67",42
"10852","67167","67190","GRENDELBRUCH","67",42
"10934","67067","67170","BRUMATH","67",42
"11001","67544","67160","WISSEMBOURG","67",42
"11273","67027","67130","BELMONT","67",42
"11379","67142","67480","FORT-LOUIS","67",42
"11423","67527","67440","WESTHOUSE-MARMOUTIER","67",42
"11503","67341","67360","OBERDORF-SPACHBACH","67",42
"11536","67410","67560","ROSENWILLER","67",42
"11579","67097","67370","DINGSHEIM","67",42
"11584","67058","67270","BOSSENDORF","67",42
"11590","67121","67390","ELSENHEIM","67",42
"11662","67011","67390","ARTOLSHEIM","67",42
"11730","67506","67550","VENDENHEIM","67",42
"11788","67162","67490","GOTTESHEIM","67",42
"11913","67208","67310","HOHENGOEFT","67",42
"11917","67250","67170","KRIEGSHEIM","67",42
"11972","67298","67170","MITTELSCHAEFFOLSHEIM","67",42
"12026","67432","67160","SALMBACH","67",42
"12053","67255","67220","LALAYE","67",42
"12159","67445","67750","SCHERWILLER","67",42
"12192","67525","67310","WESTHOFFEN","67",42
"12285","67424","67420","SAINT-BLAISE-LA-ROCHE","67",42
"12294","67242","67330","KIRRWILLER","67",42
"12322","67305","67470","MOTHERN","67",42
"12333","67360","67390","OHNENHEIM","67",42
"12415","67112","67120","DUTTLENHEIM","67",42
"12418","67462","67600","SELESTAT","67",42
"12444","67127","67120","ERGERSHEIM","67",42
"12460","67290","67250","MERKWILLER-PECHELBRONN","67",42
"12674","67383","67310","RANGEN","67",42
"12685","67088","67430","DEHLINGEN","67",42
"12725","67358","67340","OFFWILLER","67",42
"12786","67038","67720","BIETLENHEIM","67",42
"12814","67282","67520","MARLENHEIM","67",42
"12853","67025","67930","BEINHEIM","67",42
"12866","67382","67117","QUATZENHEIM","67",42
"12878","67464","67230","SERMERSHEIM","67",42
"12887","67431","67440","SALENTHAL","67",42
"12955","67448","67130","SCHIRMECK","67",42
"12956","67398","67390","RICHTOLSHEIM","67",42
"13050","67417","67170","ROTTELSHEIM","67",42
"13166","67230","67240","KALTENHOUSE","67",42
"13294","67185","67330","HATTMATT","67",42
"13338","67350","67203","OBERSCHAEFFOLSHEIM","67",42
"13380","67426","67220","SAINT-MARTIN","67",42
"13468","67085","67310","DANGOLSHEIM","67",42
"13495","67001","67204","ACHENHEIM","67",42
"13496","67213","67250","HUNSPACH","67",42
"13511","67455","67250","SCHOENENBOURG","67",42
"13514","67466","67160","SIEGEN","67",42
"13542","67415","67340","ROTHBACH","67",42
"13741","67349","67250","OBERROEDERN","67",42
"13789","67274","67430","LORENTZEN","67",42
"13893","67229","67440","JETTERSWILLER","67",42
"13923","67203","67170","HOCHSTETT","67",42
"13953","67317","67220","NEUBOIS","67",42
"13999","67471","67460","SOUFFELWEYERSHEIM","67",42
"14013","67118","67201","ECKBOLSHEIM","67",42
"14022","67151","67760","GAMBSHEIM","67",42
"14173","67096","67440","DIMBSTHAL","67",42
"14205","67190","67440","HENGWILLER","67",42
"14336","67153","67270","GEISWILLER","67",42
"14367","67306","67130","MUHLBACH-SUR-BRUCHE","67",42
"14452","67300","67120","MOLSHEIM","67",42
"14581","67087","67350","DAUENDORF","67",42
"14625","67062","67220","BREITENAU","67",42
"14632","67220","67270","INGENHEIM","67",42
"14692","67444","67270","SCHERLENHEIM","67",42
"14736","67538","67290","WINGEN-SUR-MODER","67",42
"15031","67438","67150","SCHAEFFERSHEIM","67",42
"15053","67270","67270","LIXHAUSEN","67",42
"15105","67161","67700","GOTTENHOUSE","67",42
"15223","67446","67340","SCHILLERSDORF","67",42
"15230","67239","67600","KINTZHEIM","67",42
"15374","67109","67270","DURNINGEN","67",42
"15450","67425","67700","SAINT-JEAN-SAVERNE","67",42
"15533","67453","67390","SCHOENAU","67",42
"15611","67003","67220","ALBE","67",42
"15681","67074","67160","CLEEBOURG","67",42
"15773","67036","67320","BETTWILLER","67",42
"15798","67276","67130","LUTZELHOUSE","67",42
"15950","67352","67330","OBERSOULTZBACH","67",42
"16057","67084","67650","DAMBACH-LA-VILLE","67",42
"16132","67326","67207","NIEDERHAUSBERGEN","67",42
"16133","67479","67160","STEINSELTZ","67",42
"16373","67267","67380","LINGOLSHEIM","67",42
"16385","67286","67210","MEISTRATZHEIM","67",42
"16447","67483","67290","STRUTH","67",42
"16563","67287","67270","MELSHEIM","67",42
"16581","67334","67510","NIEDERSTEINBACH","67",42
"16615","67403","67350","RINGENDORF","67",42
"16655","67089","67490","DETTWILLER","67",42
"16671","67077","67310","COSSWILLER","67",42
"16673","67214","67117","HURTIGHEIM","67",42
"16965","67199","67260","HINSINGEN","67",42
"16966","67481","67140","STOTZHEIM","67",42
"17016","67238","67350","KINDWILLER","67",42
"17021","67413","67290","ROSTEIG","67",42
"17087","67329","67210","NIEDERNAI","67",42
"17130","67554","67120","WOLXHEIM","67",42
"17179","67380","67490","PRINTZHEIM","67",42
"17283","67125","67680","EPFIG","67",42
"17341","67366","67700","OTTERSTHAL","67",42
"17441","67495","67370","TRUCHTERSHEIM","67",42
"17468","67330","67470","NIEDERROEDERN","67",42
"17494","67063","67220","BREITENBACH","67",42
"17503","67252","67240","KURTZENHOUSE","67",42
"17511","67391","67440","REINHARDSMUNSTER","67",42
"17585","67395","67440","REUTENBOURG","67",42
"17600","67456","67260","SCHOPPERTEN","67",42
"17695","67442","67310","SCHARRACHBERGHEIM-IRMSTETT","67",42
"17725","67311","67600","MUTTERSHOLTZ","67",42
"17765","67369","67320","OTTWILLER","67",42
"17820","67061","67330","BOUXWILLER","67",42
"17831","67066","67130/67570","LA BROQUE","67",42
"17848","67461","67390","SCHWOBSHEIM","67",42
"18105","67520","67310","WASSELONNE","67",42
"18434","67234","67260","KESKASTEL","67",42
"18451","67420","67130","RUSS","67",42
"18454","67504","67210","VALFF","67",42
"18506","67253","67520","KUTTOLSHEIM","67",42
"18608","67022","67220","BASSEMBERG","67",42
"18624","67145","67490","FRIEDOLSHEIM","67",42
"18712","67168","67190","GRESSWILLER","67",42
"18819","67414","67570","ROTHAU","67",42
"18830","67221","67250","INGOLSHEIM","67",42
"18969","67051","67650","BLIENSCHWILLER","67",42
"18992","67166","67350","GRASSENDORF","67",42
"19042","67052","67530","BOERSCH","67",42
"19058","67104","67160","DRACHENBRONN-BIRLENBACH","67",42
"19277","67418","67480","ROUNTZENHEIM","67",42
"19357","67034","67370","BERSTETT","67",42
"19515","67004","67310","ALLENWILLER","67",42
"19589","67065","67112","BREUSCHWICKERSHEIM","67",42
"19623","67336","67150","NORDHOUSE","67",42
"19800","67490","67220","THANVILLE","67",42
"19868","67091","67260","DIEDENDORF","67",42
"19919","67281","67390","MARCKOLSHEIM","67",42
"19970","67314","67130","NATZWILLER","67",42
"20267","67254","67250","KUTZENHAUSEN","67",42
"20337","67485","67370","STUTZHEIM-OFFENHEIM","67",42
"20378","67070","67260","BURBACH","67",42
"20399","67268","67640","LIPSHEIM","67",42
"20692","67111","67320","DURSTEL","67",42
"20727","67523","67500","WEITBRUCH","67",42
"20798","67248","67880","KRAUTERGERSHEIM","67",42
"20866","67512","67350","LA WALCK","67",42
"20954","67120","67140","EICHHOFFEN","67",42
"21003","67337","67680","NOTHALTEN","67",42
"21076","67303","67360","MORSBRONN-LES-BAINS","67",42
"21095","67177","67360","GUNSTETT","67",42
"21100","67090","67230","DIEBOLSHEIM","67",42
"21180","67187","67390","HEIDOLSHEIM","67",42
"21298","67401","67260","RIMSDORF","67",42
"21340","67165","67130","GRANDFONTAINE","67",42
"21374","67308","67470","MUNCHHAUSEN","67",42
"21400","67245","67310","KNOERSHEIM","67",42
"21494","67439","67270","SCHAFFHOUSE-SUR-ZORN","67",42
"21688","67183","67260","HARSKIRCHEN","67",42
"21699","67020","67130","BAREMBACH","67",42
"21721","67492","67310","TRAENHEIM","67",42
"21799","67459","67440","SCHWENHEIM","67",42
"21808","67529","67720","WEYERSHEIM","67",42
"21816","67404","67690","RITTERSHOFFEN","67",42
"21853","67044","67340","BISCHHOLTZ","67",42
"21920","67197","67150","HINDISHEIM","67",42
"22028","67364","67150","OSTHOUSE","67",42
"22043","67340","67110","OBERBRONN","67",42
"22070","67473","67120","SOULTZ-LES-BAINS","67",42
"22078","67552","67260","WOLFSKIRCHEN","67",42
"22321","67207","67170","HOHATZENHEIM","67",42
"22503","67005","67270","ALTECKENDORF","67",42
"22788","67524","67340","WEITERSWILLER","67",42
"23043","67189","67140","HEILIGENSTEIN","67",42
"23070","67080","67120","DACHSTEIN","67",42
"23083","67283","67440","MARMOUTIER","67",42
"23099","67140","67480","FORSTFELD","67",42
"23206","67370","67290","PETERSBACH","67",42
"23211","67174","67110","GUMBRECHTSHOFFEN","67",42
"23237","67355","67970","OERMINGEN","67",42
"23274","67055","67860","BOOFZHEIM","67",42
"23305","67019","67600","BALDENHEIM","67",42
"23373","67447","67300","SCHILTIGHEIM","67",42
"23383","67075","67510","CLIMBACH","67",42
"23479","67223","67880","INNENHEIM","67",42
"23493","67246","67230","KOGENHEIM","67",42
"23563","67389","67116","REICHSTETT","67",42
"23628","67083","67110","DAMBACH","67",42
"23669","67402","67350","RINGELDORF","67",42
"23746","67078","67310","CRASTATT","67",42
"23836","67319","67480","NEUHAEUSEL","67",42
"24128","67031","67210","BERNARDSWILLER","67",42
"24349","67465","67770","SESSENHEIM","67",42
"24440","67194","67850","HERRLISHEIM","67",42
"24467","67107","67270","DUNTZENHEIM","67",42
"24490","67068","67350","BUSWILLER","67",42
"24554","67082","67770","DALHUNDEN","67",42
"24568","67477","67220","STEIGE","67",42
"24579","67396","67320","REXINGEN","67",42
"24595","67257","67250","LAMPERTSLOCH","67",42
"24610","67315","67630","NEEWILLER-PRES-LAUTERBOURG","67",42
"24719","67143","67220","FOUCHY","67",42
"24740","67379","67250","PREUSCHDORF","67",42
"24923","67222","67340","INGWILLER","67",42
"24927","67387","67140","REICHSFELD","67",42
"24967","67356","67850","OFFENDORF","67",42
"25078","67079","67470","CROETTWILLER","67",42
"25185","67149","67700","FURCHHAUSEN","67",42
"25188","67173","67370","GRIESHEIM-SUR-SOUFFEL","67",42
"25197","67046","67240","BISCHWILLER","67",42
"25254","67244","67440","KLEINGOEFT","67",42
"25278","67378","67115","PLOBSHEIM","67",42
"25282","67182","67980","HANGENBIETEN","67",42
"25377","67494","67470","TRIMBACH","67",42
"25680","67188","67190","HEILIGENBERG","67",42
"25966","67131","67114","ESCHAU","67",42
"25980","67423","67270","SAESSOLSHEIM","67",42
"25992","67278","67430","MACKWILLER","67",42
"26187","67014","67480","AUENHEIM","67",42
"26322","67371","67290","LA PETITE-PIERRE","67",42
"26344","67559","67290","ZITTERSHEIM","67",42
"26492","67264","67480","LEUTENHEIM","67",42
"26576","67256","67450","LAMPERTHEIM","67",42
"26689","67100","67170","DONNENHEIM","67",42
"26705","67351","67160","SEEBACH","67",42
"26776","67381","67290","PUBERG","67",42
"27142","67008","67120","ALTORF","67",42
"27155","67266","67150","LIMERSHEIM","67",42
"27271","67128","67120","ERNOLSHEIM-BRUCHE","67",42
"27478","67550","67360","WOERTH","67",42
"27538","67482","67000/67100/67200","STRASBOURG","67",42
"27576","67359","67590","OHLUNGEN","67",42
"27661","67427","67220","SAINT-MAURICE","67",42
"27730","67023","67500","BATZENDORF","67",42
"27766","67119","67550","ECKWERSHEIM","67",42
"27962","67265","67340","LICHTENBERG","67",42
"28087","67172","67870","GRIESHEIM-PRES-MOLSHEIM","67",42
"28132","67017","67320","BAERENDORF","67",42
"28134","67534","67270","WILWISHEIM","67",42
"28150","67548","67370","WIWERSHEIM","67",42
"28151","67247","67120","KOLBSHEIM","67",42
"28221","67043","67800","BISCHHEIM","67",42
"28252","67365","67540","OSTWALD","67",42
"28351","67484","67250","STUNDWILLER","67",42
"28354","67342","67280","OBERHASLACH","67",42
"28376","67116","67600","EBERSMUNSTER","67",42
"28382","67280","67220","MAISONSGOUTTE","67",42
"28441","67375","67370","PFULGRIESHEIM","67",42
"28550","67288","67250","MEMMELSHOFFEN","67",42
"28594","67273","67290","LOHR","67",42
"28741","67126","67290","ERCKARTSWILLER","67",42
"28785","67537","67510","WINGEN","67",42
"28840","67040","67600","BINDERNHEIM","67",42
"28947","67486","67920","SUNDHOUSE","67",42
"29090","67408","67310","ROMANSWILLER","67",42
"29110","67150","67117","FURDENHEIM","67",42
"29229","67392","67340","REIPERTSWILLER","67",42
"29298","67519","67610","LA WANTZENAU","67",42
"29393","67006","67490","ALTENHEIM","67",42
"29408","67333","67330","NIEDERSOULTZBACH","67",42
"29448","67373","67320","PFALZWEYER","67",42
"29587","67259","67360","LANGENSOULTZBACH","67",42
"29655","67325","67280","NIEDERHASLACH","67",42
"29657","67217","67640","ICHTRATZHEIM","67",42
"29712","67133","67320","ESCHBOURG","67",42
"29718","67338","67230","OBENHEIM","67",42
"29751","67012","67250","ASCHBACH","67",42
"29803","67138","67117","FESSENHEIM-LE-BAS","67",42
"29894","67521","67340","WEINBOURG","67",42
"29959","67154","67150","GERSTHEIM","67",42
"29980","67186","67360","HEGENEY","67",42
"29991","67530","67270","WICKERSHEIM-WILSHAUSEN","67",42
"29993","67553","67700","WOLSCHHEIM","67",42
"30062","67509","67290","VOLKSBERG","67",42
"30146","67545","67230","WITTERNHEIM","67",42
"30251","67451","67160","SCHLEITHAL","67",42
"30287","67158","67270","GINGSHEIM","67",42
"30389","67557","67140","ZELLWILLER","67",42
"30521","67216","67230","HUTTENHEIM","67",42
"30762","67135","67350","ETTENDORF","67",42
"30784","67339","67660","BETSCHDORF","67",42
"30815","67057","67330","BOSSELSHAUSEN","67",42
"30819","67272","67440","LOCHWILLER","67",42
"30841","67048","67350","BITSCHHOFFEN","67",42
"31004","67225","67330","ISSENHAUSEN","67",42
"31053","67176","67110","GUNDERSHOFFEN","67",42
"31171","67497","67350","UHLWILLER","67",42
"31205","67039","67170","BILWISHEIM","67",42
"31269","67160","67360","GOERSDORF","67",42
"31305","67496","67350","UBERACH","67",42
"31309","67152","67118","GEISPOLSHEIM","67",42
"31396","67474","67250","SOULTZ-SOUS-FORETS","67",42
"31646","67056","67390","BOOTZHEIM","67",42
"31687","67449","67240","SCHIRRHEIN","67",42
"32093","67363","67990","OSTHOFFEN","67",42
"32146","67076","67420","COLROY-LA-ROCHE","67",42
"32185","67503","67330","UTTWILLER","67",42
"32286","67073","67730","CHATENOIS","67",42
"32428","67205","67720","HOERDT","67",42
"32477","67271","67250","LOBSANN","67",42
"32554","67344","67160","OBERHOFFEN-LES-WISSEMBOURG","67",42
"32557","67501","67150","UTTENHEIM","67",42
"32586","67515","67700","WALDOLWISHEIM","67",42
"32641","67435","67260","SARREWERDEN","67",42
"32687","67101","67120","DORLISHEIM","67",42
"32748","67092","67220","DIEFFENBACH-AU-VAL","67",42
"32760","67155","67140","GERTWILLER","67",42
"32896","67130","67150","ERSTEIN","67",42
"32920","67164","67210","GOXWILLER","67",42
"32961","67324","67110","NIEDERBRONN-LES-BAINS","67",42
"32988","67184","67690","HATTEN","67",42
"33170","67475","67340","SPARSBACH","67",42
"33326","67511","67360","WALBOURG","67",42
"33340","67436","67420","SAULXURES","67",42
"33451","67269","67490","LITTENHEIM","67",42
"33544","67050","67130","BLANCHERUPT","67",42
"33618","67361","67170","OLWISHEIM","67",42
"33673","67045","67870","BISCHOFFSHEIM","67",42
"33687","67198","67290","HINSBOURG","67",42
"33768","67212","67810","HOLTZHEIM","67",42
"33783","67002","67320","ADAMSWILLER","67",42
"33829","67331","67500","NIEDERSCHAEFFOLSHEIM","67",42
"33880","67021","67140","BARR","67",42
"33887","67386","67320","RAUWILLER","67",42
"33938","67407","67410","ROHRWILLER","67",42
"33944","67010","67140","ANDLAU","67",42
"34047","67313","67190","MUTZIG","67",42
"34066","67013","67320","ASSWILLER","67",42
"34072","67353","67510","OBERSTEINBACH","67",42
"34080","67144","67130","FOUDAY","67",42
"34127","67543","67130","WISCHES","67",42
"34142","67016","67120","AVOLSHEIM","67",42
"34231","67095","67430","DIEMERINGEN","67",42
"34270","67041","67440","BIRKENWALD","67",42
"34282","67102","67117","DOSSENHEIM-KOCHERSBERG","67",42
"34468","67289","67340","MENCHHOFFEN","67",42
"34537","67279","67700","MAENNOLSHEIM","67",42
"34605","67108","67120","DUPPIGHEIM","67",42
"34753","67328","67350","NIEDERMODERN","67",42
"34817","67072","67430","BUTTEN","67",42
"34955","67388","67110","REICHSHOFFEN","67",42
"34972","67030","67310","BERGBIETEN","67",42
"35028","67163","67270","GOUGENHEIM","67",42
"35057","67295","67140","MITTELBERGHEIM","67",42
"35434","67452","67370","SCHNERSHEIM","67",42
"35542","67460","67270","SCHWINDRATZHEIM","67",42
"35656","67343","67205","OBERHAUSBERGEN","67",42
"35679","67117","67700","ECKARTSWILLER","67",42
"35685","67493","67220","TRIEMBACH-AU-VAL","67",42
"35729","67026","67130","BELLEFOSSE","67",42
"36043","67218","67400","ILLKIRCH-GRAFFENSTADEN","67",42
"36050","67147","67360","FROESCHWILLER","67",42
"36128","67232","67250","KEFFENACH","67",42
"36231","67301","67670","MOMMENHEIM","67",42
"36249","67312","67270","MUTZENHOUSE","67",42
"36253","67060","67140","BOURGHEIM","67",42
"36287","67258","67700","LANDERSHEIM","67",42
"36366","67009","67260","ALTWILLER","67",42
"36390","67156","67170","GEUDERTHEIM","67",42
"36399","67181","67117","HANDSCHUHEIM","67",42
"36458","67546","67670","WITTERSHEIM","67",42
"36467","67098","67190","DINSHEIM-SUR-BRUCHE","67",42
"36475","67335","67520","NORDHEIM","67",42
"36487","67374","67370","PFETTISHEIM","67",42
"36505","67416","67160","ROTT","67",42
"36583","67086","67150","DAUBENSAND","67",42
"36597","67514","67430","WALDHAMBACH","67",42
"36625","67440","67470","SCHAFFHOUSE-PRES-SELTZ","67",42
"36631","67240","67520","KIRCHHEIM","67",42
"36735","67434","67260","SARRE-UNION","67",42
